gene_id,mean_group1,mean_group2,fold_change,log2_fold_change,p_value,test_statistic,p_value_adjusted
217129_at,6.455430935452303,6.301437961683192,0.97614520621336,-0.03483232342915788,0.0001481790823090762,6.729234621460722,0.98162806621557
216944_s_at,4.649459229512806,4.800930409792832,1.0325782360491624,0.04625109543073522,0.00021467488909091942,-6.375488096075869,0.98162806621557
210577_at,6.356623326564163,6.095836127988037,0.9589739417960629,-0.060436481471236175,0.00023105488117797582,6.306934242374994,0.98162806621557
206269_at,5.748671874981283,5.4842569033571245,0.954004163505154,-0.06793253237237093,0.00046355001037396554,5.682687927179293,0.98162806621557
203951_at,7.203051455321951,6.821065928512412,0.9469689298793902,-0.0786110033481546,0.0005916343922525863,5.474009679435342,0.98162806621557
220372_at,4.459076410272216,4.29759551255853,0.9637860213963394,-0.05321521828386103,0.0009091252998058388,5.11827066416225,0.98162806621557
208390_s_at,8.020231136513559,7.7056620585306135,0.9607780533218285,-0.05772489838730481,0.0009375714674041495,5.093306596846748,0.98162806621557
215052_at,5.58583399625641,5.404010825710537,0.9674492348559356,-0.047742134450045715,0.0009985605931990698,5.042464049811808,0.98162806621557
207278_s_at,6.4366428323875935,6.262442336177477,0.9729361251282139,-0.03958300209645505,0.0010058605668319858,5.0366068400630475,0.98162806621557
215110_at,5.2600271604489715,5.046947076200031,0.959490687452885,-0.05965929079160477,0.0010200215380458146,5.0253758610543136,0.98162806621557
214584_x_at,5.669268450680385,5.475021703825169,0.965736893825886,-0.05029790134882207,0.0010862599224422695,4.975009927958746,0.98162806621557
220638_s_at,5.631954059728103,5.448900928124685,0.9674974032703215,-0.047670305768874724,0.0012169922042874523,4.884766173986743,0.98162806621557
210991_s_at,6.724329690685199,6.528976082985573,0.9709482406892932,-0.04253370438313448,0.0012506856757492643,4.863217327663121,0.98162806621557
214103_s_at,6.745076215596993,6.348645650712748,0.9412266737672204,-0.08738588868298638,0.001408183049753048,4.770237029283256,0.98162806621557
220169_at,4.1005926984207655,4.192285086654298,1.0223607646447903,0.03190437584733083,0.0014160827831648853,-4.765875763001404,0.98162806621557
216774_at,6.827491607470741,6.70662871376015,0.9822976137270765,-0.025767900492440595,0.0014649536419147357,4.739470582429678,0.98162806621557
210789_x_at,6.378377035170397,6.230338644767423,0.9767905864475102,-0.03387879807446947,0.0015002714591760438,4.720978001932845,0.98162806621557
202665_s_at,6.219089116670993,6.437289859851679,1.035085643425783,0.04975014186366057,0.0015361096893147079,-4.70269083030024,0.98162806621557
201644_at,8.609283536652502,8.476993223759829,0.9846339927905184,-0.022340547896577988,0.0017171800509959206,4.616877776667378,0.98162806621557
212082_s_at,12.147215673159515,12.01892276660704,0.9894384927373975,-0.015318068241931047,0.0019335081778136351,4.526404971548304,0.98162806621557
211878_at,4.7952581382753445,4.721259344837154,0.9845683399507655,-0.02243674626562525,0.0019911595046130377,4.504142801760221,0.98162806621557
211865_s_at,5.463953601456331,5.1435046962674225,0.9413521913686277,-0.08719351042493143,0.002045672219704927,4.483726420857132,0.98162806621557
216235_s_at,6.722445434733354,6.488054028096734,0.965133014628044,-0.05120030657934888,0.002090529662978832,4.467363723671795,0.98162806621557
215904_at,4.753326189523058,4.5494009441594025,0.9570984112529174,-0.06326082103597337,0.002139194892541918,4.450036984110372,0.98162806621557
205313_at,7.728165715294718,7.446752800437542,0.9635860661864127,-0.053514563068041074,0.0021606420786111817,4.4425360770051805,0.98162806621557
207921_x_at,5.758382631407773,5.5868621670066805,0.9702137778296333,-0.04362542775893053,0.0022084408302780675,4.426105282123711,0.98162806621557
217358_at,7.29541258219135,7.049063186039397,0.966232287293345,-0.04955803269932131,0.0022425901959711044,4.414600643616263,0.98162806621557
207172_s_at,6.621576770118244,6.3915145048936814,0.9652556674623506,-0.05101697496568487,0.0023772200521448047,4.371023450311793,0.98162806621557
221353_at,5.440120527758454,5.291013747514972,0.9725912726597401,-0.04009444896878557,0.0026839854477243383,4.280968102009372,0.98162806621557
220331_at,6.602598722333202,6.306865501190442,0.9552095722336652,-0.0661108008465747,0.003182468293376046,4.15603954701186,0.98162806621557
219865_at,6.978086550224932,7.276006165645047,1.0426935970592843,0.060315273921047116,0.00329559001582151,-4.130631564808875,0.98162806621557
204475_at,6.648775108176372,7.654333354570701,1.1512396238455618,0.20318815332506937,0.00330728197161891,-4.128059214184438,0.98162806621557
216496_s_at,5.340456664514724,4.956732759568446,0.9281477354743883,-0.10757363406836849,0.0033865581796034307,4.110871996483969,0.98162806621557
215621_s_at,6.477719122813035,6.186480713384635,0.9550399756601479,-0.06636697275508568,0.0033993175833693834,4.108146270606014,0.98162806621557
211707_s_at,7.840269540854424,7.9325214325024795,1.0117664183823458,0.016876260449492614,0.003458525405019281,-4.0956405764241115,0.98162806621557
207493_x_at,6.739982981124302,6.418857715607638,0.9523551815463046,-0.07042836684769843,0.0036001066790996485,4.066647583475883,0.98162806621557
221442_at,5.501302263632709,5.321366014454005,0.9672920627597209,-0.04797653416493607,0.0036349255907691712,4.059705298915387,0.98162806621557
215554_at,4.162173897181688,4.082557377129399,0.9808714095040096,-0.027864080798409144,0.003643931853379118,4.0579212531807665,0.98162806621557
217038_at,5.709756738795125,5.443414764819369,0.9533531836538522,-0.06891731421312766,0.0036471887022227253,4.0572772735787135,0.98162806621557
208788_at,10.422547193907583,10.605778026915914,1.0175802353877021,0.025142554326627434,0.0036567013773383386,-4.055399861077049,0.98162806621557
215361_at,4.916264663593173,4.841794005314418,0.9848521868990824,-0.022020883241999016,0.003663613607673491,4.0540389634610134,0.98162806621557
